Team,Status,Team rating,CB,LB,RB,ST,CM,AM,LM,DM,LW,RW,RM,Rival team rating,CBr,LBr,RBr,STr,CMr,AMr,LMr,DMr,LWr,RWr,RMr,Result,Round,Team_encoded,Status_encoded
Man city,Guest,7.3,2,1,1,1,0,1,0,2,1,1,0,6.0,3,1,1,1,2,0,1,0,0,0,1,Win,1,12,0
Burnley,Home,6.0,3,1,1,1,2,0,1,0,0,0,1,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,1,5,1
Arsenal,Home,7.4,2,1,1,1,3,0,0,0,1,1,0,6.5,3,0,0,1,2,0,1,0,1,1,1,Win,1,0,1
Nottm forest,Guest,6.5,3,0,0,1,2,0,1,0,1,1,1,7.4,2,1,1,1,3,0,0,0,1,1,0,Lost,1,15,0
Bournemouth,Home,6.6,2,1,1,1,0,1,0,2,1,1,0,7.2,2,1,1,1,0,1,0,2,1,1,0,Draw,1,2,1
West ham,Guest,7.2,2,1,1,1,0,1,0,2,1,1,0,6.6,2,1,1,1,0,1,0,2,1,1,0,Draw,1,18,0
Brighton,Home,7.4,2,1,1,1,0,1,0,2,1,1,0,6.3,3,0,0,2,3,0,1,0,0,0,1,Win,1,4,1
Luton,Guest,6.3,3,0,0,2,3,0,1,0,0,0,1,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,1,11,0
Everton,Home,6.7,2,1,1,1,2,1,1,0,0,0,1,7.1,2,1,1,1,3,0,0,0,1,1,0,Lost,1,8,1
Fulham,Guest,7.1,2,1,1,1,3,0,0,0,1,1,0,6.7,2,1,1,1,2,1,1,0,0,0,1,Win,1,9,0
Sheffiled utd,Home,6.4,3,0,0,2,3,0,1,0,0,0,1,7.8,2,1,1,1,0,1,0,2,1,1,0,Lost,1,16,1
Crystal palace,Guest,7.8,2,1,1,1,0,1,0,2,1,1,0,6.4,3,0,0,2,3,0,1,0,0,0,1,Win,1,7,0
Newcatle,Home,7.7,2,1,1,1,3,0,0,0,1,1,0,6.1,2,1,1,2,2,0,0,1,0,0,1,Win,1,14,1
Aston Villa,Guest,6.1,2,1,1,2,2,0,0,1,0,0,1,7.7,2,1,1,1,3,0,0,0,1,1,0,Lost,1,1,0
Brentford,Home,6.7,3,1,1,2,3,0,0,0,0,0,0,7.3,2,1,1,0,1,1,0,2,1,1,0,Draw,1,3,1
Tottenham,Guest,7.3,2,1,1,0,1,1,0,2,1,1,0,6.7,3,1,1,2,3,0,0,0,0,0,0,Draw,1,17,0
Chelsea,Home,7.1,3,0,0,2,3,0,1,0,0,0,1,7.0,2,1,1,1,3,0,0,0,1,1,0,Draw,1,6,1
Liverpool,Guest,7.0,2,1,1,1,3,0,0,0,1,1,0,7.1,3,0,0,2,3,0,1,0,0,0,1,Draw,1,10,0
Man utd,Home,7.1,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,2,2,0,1,0,0,0,1,Win,1,13,1
Wolves,Guest,7.1,2,1,1,2,2,0,1,0,0,0,1,7.1,2,1,1,1,0,1,0,2,1,1,0,Lost,1,19,0
Nottm forest,Home,7.3,3,0,0,1,2,0,1,0,1,1,1,6.5,3,0,0,1,2,2,1,0,0,0,1,Win,2,15,1
Sheffiled utd,Guest,6.5,3,0,0,1,2,2,1,0,0,0,1,7.3,3,0,0,1,2,0,1,0,1,1,1,Lost,2,16,0
Fulham,Home,6.3,2,1,1,1,3,0,0,0,1,1,0,7.2,2,1,1,1,3,0,0,0,1,1,0,Lost,2,9,1
Brentford,Guest,7.2,2,1,1,1,3,0,0,0,1,1,0,6.3,2,1,1,1,3,0,0,0,1,1,0,Win,2,3,0
Liverpool,Home,7.4,2,1,1,1,3,0,0,0,1,1,0,6.4,2,1,1,1,0,1,1,2,0,0,1,Win,2,10,1
Bournemouth,Guest,6.4,2,1,1,1,0,1,1,2,0,0,1,7.4,2,1,1,1,3,0,0,0,1,1,0,Lost,2,2,0
Wolves,Home,6.3,2,1,1,2,2,0,1,0,0,0,1,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,2,19,1
Brighton,Guest,7.5,2,1,1,1,0,1,0,2,1,1,0,6.3,2,1,1,2,2,0,1,0,0,0,1,Win,2,4,0
Tottenham,Home,7.2,2,1,1,1,0,1,0,2,1,1,0,6.7,2,1,1,1,0,1,0,2,1,1,0,Win,2,17,1
Man utd,Guest,6.7,2,1,1,1,0,1,0,2,1,1,0,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,2,13,0
Man city,Home,7.6,2,1,1,1,0,1,0,2,1,1,0,6.4,2,1,1,1,3,0,0,0,1,1,0,Win,2,12,1
Newcatle,Guest,6.4,2,1,1,1,3,0,0,0,1,1,0,7.6,2,1,1,1,0,1,0,2,1,1,0,Lost,2,14,0
Aston Villa,Home,7.4,2,1,1,1,0,1,0,2,1,1,0,6.0,2,1,1,1,0,2,0,1,1,1,0,Win,2,1,1
Everton,Guest,6.0,2,1,1,1,0,2,0,1,1,1,0,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,2,8,0
West ham,Home,7.2,2,1,1,1,0,1,0,2,1,1,0,6.8,3,0,0,1,2,2,1,0,0,0,1,Win,2,18,1
Chelsea,Guest,6.8,3,0,0,1,2,2,1,0,0,0,1,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,2,6,0
Crystal palace,Home,6.8,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,1,3,0,0,0,1,1,0,Lost,2,7,1
Arsenal,Guest,7.1,2,1,1,1,3,0,0,0,1,1,0,6.8,2,1,1,1,0,1,0,2,1,1,0,Win,2,0,0
